,CO_IPRESS,NAME,YEAR,MONTH,UBIGEO,STATE,PROVINCE,DISTRICT,SECTOR,CATEGORY,CATEGORY_GLOBAL,QTY_CONSULTING_ROOM,QTY_OPERATIONS_CONSULTING_ROOM,QTY_BEDS,QTY_DOCTORS,QTY_DOCTORS_SERUM,QTY_DOCTORS_RESIDENT,QTY_NURSE,QTY_DENTISTS,QTY_PSYCHOLOGISTS,QTY_NUTRITIONISTS,QTY_MEDICAL_TECHNOLOGISTS,QTY_OBSTETRICIANS,QTY_PHARMACEUTICAL,QTY_AUXILIARY_PERSONAL,QTY_OTHER_PROFESSIONS,QTY_AMBULANCIAS
10,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,2020,10,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,7.0,6.0,105.0,92.0,0.0,19.0,111.0,0.0,7.0,3.0,43.0,0.0,5.0,278.0,5.0,2.0
11,00006210,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,2020,12,150141,LIMA,LIMA,SURQUILLO,MINSA,III-2,III,69.0,148.0,392.0,274.0,0.0,156.0,614.0,4.0,11.0,23.0,225.0,0.0,50.0,10.0,891.0,1.0
12,00006211,HOSPITAL DE APOYO SANTA ROSA,2020,10,150121,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,III,54.0,87.0,102.0,268.0,55.0,34.0,245.0,13.0,10.0,12.0,56.0,39.0,25.0,80.0,33.0,3.0
13,00006212,HOSPITAL DE EMERGENCIAS PEDIATRICAS,2020,10,150115,LIMA,LIMA,LA VICTORIA,MINSA,III-E,III,3.0,0.0,48.0,123.0,0.0,1.0,122.0,0.0,1.0,3.0,31.0,0.0,12.0,144.0,14.0,2.0
14,00006213,HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA,2020,11,150122,LIMA,LIMA,MIRAFLORES,MINSA,III-E,III,9.0,9.0,71.0,108.0,0.0,31.0,313.0,0.0,0.0,6.0,27.0,0.0,7.0,93.0,4.0,3.0
15,00006214,HOSPITAL VICTOR LARCO HERRERA,2020,12,150120,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-1,III,10.0,15.0,590.0,37.0,0.0,0.0,92.0,4.0,13.0,1.0,13.0,0.0,14.0,221.0,17.0,3.0
16,00006215,HOSPITAL NACIONAL DOCENTE MADRE NIÑO SAN BARTOLOME,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,10.0,32.0,189.0,303.0,0.0,88.0,304.0,11.0,8.0,4.0,50.0,72.0,28.0,382.0,23.0,3.0
17,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,2020,12,150105,LIMA,LIMA,BREÑA,MINSA,III-2,III,110.0,118.0,371.0,366.0,0.0,50.0,625.0,28.0,20.0,15.0,159.0,5.0,29.0,652.0,33.0,4.0
18,00006217,INO DR. FRANCISCO CONTRERAS C.,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,44.0,76.0,11.0,108.0,0.0,27.0,55.0,0.0,1.0,1.0,22.0,0.0,8.0,103.0,6.0,1.0
19,00006218,NAC. DANIEL A. CARRION,2020,10,70102,CALLAO,CALLAO,BELLAVISTA,GOBIERNO REGIONAL,III-1,III,3.0,3.0,324.0,271.0,0.0,185.0,351.0,8.0,12.0,10.0,64.0,28.0,14.0,487.0,31.0,1.0
20,00006219,HOSPITAL SAN JOSE,2020,12,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,II-2,II,43.0,68.0,72.0,144.0,0.0,37.0,110.0,5.0,14.0,2.0,36.0,31.0,7.0,94.0,7.0,4.0
21,00006220,P.S. MANUEL BONILLA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,10.0,10.0,0.0,7.0,0.0,0.0,6.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0
22,00006221,C.S. ALBERTO BARTON,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-3,I,10.0,10.0,0.0,5.0,0.0,0.0,4.0,2.0,4.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0
23,00006222,CALLAO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0
24,00006223,P.S. SANTA FE,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,15.0,15.0,0.0,5.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0
25,00006224,JOSE BOTERIN,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
26,00006225,SAN JUAN BOSCO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
27,00006226,P. S. PUERTO NUEVO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
28,00006227,P.S. LA PUNTA  ( EX-LUIS VALLEJO SANTONI ),2020,2,70105,CALLAO,CALLAO,LA PUNTA,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
29,00006228,C.S. NESTOR GAMBETTA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,11.0,10.0,5.0,12.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,8.0,1.0,11.0,0.0,0.0
30,00006230,CENTRO DE SALUD ACAPULCO,2020,1,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,16.0,16.0,4.0,10.0,0.0,0.0,6.0,3.0,2.0,1.0,2.0,6.0,1.0,37.0,1.0,1.0
31,00006231,RAMON CASTILLA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,7.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0
32,00006233,JUAN PABLO II,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0
33,00006234,P.S. SANTA ROSA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
34,00006235,MIGUEL GRAU,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
35,00006238,C.S. MARQUEZ,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,11.0,11.0,8.0,11.0,0.0,0.0,12.0,3.0,1.0,1.0,1.0,10.0,1.0,34.0,0.0,1.0
36,00006239,C.S. SESQUICENTENARIO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-3,I,12.0,12.0,0.0,8.0,0.0,0.0,5.0,2.0,1.0,1.0,6.0,2.0,2.0,14.0,0.0,0.0
37,00006240,P.S. PREVI,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,12.0,12.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0
38,00006241,AEROPUERTO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0
39,00006242,PUESTO DE SALUD PLAYA RIMAC,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0
40,00006243,P. S. FAUCETT,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0
41,00006244,P.S. 200 MILLAS,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
42,00006245,P.S. BOCANEGRA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0
43,00006246,P.S.EL ALAMO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,20.0,20.0,0.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0
44,00006248,P.S. POLIGONO IV,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,10.0,10.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,5.0,1.0,0.0
45,00006249,C.S. BELLAVISTA PERU COREA,2020,2,70102,CALLAO,CALLAO,BELLAVISTA,GOBIERNO REGIONAL,I-4,I,5.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,00006250,P.S. ALTA MAR,2020,2,70104,CALLAO,CALLAO,LA PERLA,GOBIERNO REGIONAL,I-2,0,9.0,9.0,0.0,6.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,3.0,0.0,9.0,0.0,0.0
47,00006251,P.S. LA PERLA,2020,2,70104,CALLAO,CALLAO,LA PERLA,GOBIERNO REGIONAL,I-2,0,12.0,12.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0
48,00006252,C.S. CARMEN DE LA LEGUA,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,I-3,I,9.0,9.0,0.0,5.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,0.0,11.0,1.0,0.0
49,00006253,VILLA SR. DE LOS MILAGROS,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,I-2,0,13.0,12.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,8.0,3.0,0.0
50,00006255,P.S. VENTANILLA ALTA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,12.0,10.0,0.0,5.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0
51,00006256,CENTRO DE SALUD VILLA LOS REYES,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-4,I,12.0,12.0,2.0,12.0,0.0,0.0,12.0,3.0,1.0,1.0,0.0,13.0,0.0,30.0,4.0,0.0
52,00006257,P. S. ANGAMOS,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,12.0,22.0,0.0,9.0,4.0,0.0,10.0,2.0,3.0,1.0,0.0,6.0,0.0,10.0,1.0,0.0
53,00006258,P.S. VENTANILLA BAJA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,5.0,5.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0
54,00006259,P.S. VENTANILLA ESTE,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,6.0,10.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
55,00006260,PUESTO DE SALUD MI PERU,2020,2,70107,CALLAO,CALLAO,MI PERU,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,6.0,0.0,0.0,8.0,4.0,3.0,2.0,0.0,6.0,1.0,13.0,1.0,0.0
56,00006261,P.S. LUIS FELIPE DE LAS CASAS,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,2.0,3.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,0.0
57,00006262,P.S. HIJOS DEL ALMIRANTE GRAU,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,9.0,13.0,0.0,4.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0
58,00006263,P.S. SANTA ROSA DE PACHACÚTEC,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,8.0,8.0,0.0
59,00006264,P.S. BAHIA BLANCA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,11.0,10.0,0.0,4.0,0.0,0.0,8.0,3.0,3.0,1.0,0.0,4.0,1.0,10.0,1.0,0.0
60,00006266,03 DE FEBRERO,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,2.0,2.0,0.0,2.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0
61,00006267,P.S. CIUDAD PACHACUTEC,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,13.0,24.0,0.0,4.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,4.0,0.0,10.0,1.0,0.0
62,00006268,P.S. DEFENSORES DE LA PATRIA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,8.0,12.0,0.0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0
63,00006669,SANIDAD AEREA INTERNACIONAL,2020,1,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,2.0,2.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
64,00006768,PALMERAS DE OQUENDO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,7.0,2.0,0.0
65,00007126,HOSPITAL DE VENTANILLA,2020,11,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,II-1,II,0.0,0.0,87.0,99.0,0.0,17.0,103.0,7.0,6.0,2.0,17.0,41.0,6.0,210.0,1.0,1.0
66,00007314,C.S. MATERNO INFANTIL PACHACUTEC  PERU-COREA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-4,I,24.0,38.0,22.0,18.0,0.0,0.0,16.0,4.0,2.0,2.0,7.0,19.0,1.0,1.0,0.0,1.0
67,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,2020,12,150125,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,II,27.0,44.0,111.0,148.0,0.0,46.0,161.0,8.0,10.0,7.0,7.0,55.0,34.0,10.0,16.0,3.0
68,00007633,HOSPITAL NACIONAL CAYETANO HEREDIA,2020,12,150135,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,III,102.0,39.0,376.0,434.0,0.0,231.0,525.0,9.0,24.0,18.0,78.0,44.0,12.0,1482.0,134.0,3.0
69,00007634,HOSPITAL NACIONAL SERGIO E. BERNALES,2020,12,150110,LIMA,LIMA,COMAS,MINSA,III-1,III,43.0,4.0,347.0,211.0,0.0,114.0,241.0,8.0,12.0,7.0,51.0,53.0,11.0,865.0,45.0,3.0
70,00007733,"INSTITUTO NACIONAL DE SALUD MENTAL ""HONORIO DELGADO - HIDEYO NOGUCHI""",2020,12,150135,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,III,4.0,2.0,22.0,130.0,0.0,46.0,80.0,0.0,45.0,4.0,14.0,4.0,7.0,140.0,56.0,2.0
71,00007734,"INSTITUTO NACIONAL DE REHABILITACION ""DRA. ADRIANA REBAZA FLORES"" AMISTAD PERU - JAPON",2020,8,150108,LIMA,LIMA,CHORRILLOS,MINSA,III-2,III,55.0,82.0,48.0,127.0,0.0,44.0,30.0,2.0,24.0,8.0,120.0,0.0,7.0,114.0,49.0,2.0
72,00007794,CONSORCIO RED MEDICA OSEA S.A.C.,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,PRIVADO,I-2,0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,00007840,PERFECTDENT-FERREYRA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,PRIVADO,I-1,0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,00007918,LABORATORIO DE ANALISIS CLINICO LUIS NAKANDAKARI,2020,7,70101,CALLAO,CALLAO,CALLAO,PRIVADO,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
75,00008215,MEDICENTRO SAN ISIDRO,2020,9,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,I-2,0,48.0,48.0,0.0,45.0,0.0,0.0,21.0,6.0,1.0,2.0,14.0,7.0,2.0,15.0,0.0,0.0
76,00008251,CAP III HUAYCAN-GRDA-ESSALUD,2020,6,150103,LIMA,LIMA,ATE,ESSALUD,I-3,I,5.0,10.0,0.0,16.0,0.0,0.0,15.0,3.0,1.0,1.0,7.0,3.0,3.0,14.0,6.0,1.0
77,00008258,REJUVENECIMIENTO Y ESTETICA CABANI SRL,2020,12,150130,LIMA,LIMA,SAN BORJA,PRIVADO,II-1,II,1.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
78,00008265,HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN DE LA RED ASISTENCIAL SABOGAL,2020,12,70102,CALLAO,CALLAO,BELLAVISTA,ESSALUD,III-1,III,61.0,86.0,447.0,748.0,0.0,159.0,524.0,9.0,13.0,21.0,117.0,37.0,26.0,876.0,47.0,5.0
79,00008266,HOSPITAL NAVAL,2020,9,70102,CALLAO,CALLAO,BELLAVISTA,SANIDAD DE LA MARINA DE GUERRA DEL PERU,III-1,III,70.0,70.0,259.0,129.0,0.0,50.0,261.0,14.0,12.0,7.0,33.0,1.0,8.0,248.0,11.0,4.0
80,00008271,CLINICA SAN JUAN BAUTISTA,2020,12,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,PRIVADO,II-2,II,24.0,64.0,45.0,13.0,0.0,0.0,63.0,0.0,1.0,9.0,5.0,2.0,87.0,0.0,1.0,0.0
81,00008281,CLUB DE LA SALUD,2020,12,150101,LIMA,LIMA,LIMA,PRIVADO,II-2,II,7.0,14.0,56.0,81.0,0.0,0.0,41.0,0.0,2.0,2.0,19.0,0.0,3.0,78.0,1.0,0.0
82,00008289,ESSALUD,2020,11,150134,LIMA,LIMA,SAN LUIS,ESSALUD,I-3,I,11.0,20.0,0.0,25.0,0.0,0.0,16.0,3.0,1.0,2.0,3.0,2.0,2.0,45.0,1.0,0.0
83,00008317,HOSPITAL AURELIO DIAZ UFANO Y PERAL,2020,9,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ESSALUD,II-1,II,22.0,13.0,120.0,136.0,0.0,7.0,151.0,11.0,3.0,7.0,41.0,18.0,10.0,173.0,2.0,0.0
84,00008318,ESSALUD - HOSPITAL I JORGE VOTO BERNALES CORPANCHO,2020,12,150137,LIMA,LIMA,SANTA ANITA,ESSALUD,II-1,II,17.0,8.0,38.0,95.0,0.0,4.0,66.0,8.0,1.0,4.0,27.0,21.0,7.0,95.0,2.0,0.0
85,00008325,CLINICA CENTENARIO PERUANO JAPONESA,2020,11,150121,LIMA,LIMA,PUEBLO LIBRE,PRIVADO,II-2,II,41.0,123.0,121.0,76.0,0.0,0.0,186.0,8.0,2.0,7.0,127.0,12.0,7.0,232.0,0.0,1.0
86,00008351,CLINICAS SAN BERNARDO S.A.,2020,12,150121,LIMA,LIMA,PUEBLO LIBRE,PRIVADO,II-E,II,5.0,5.0,22.0,82.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0,0.0,0.0
87,00008353,ESSALUD - HOSPITAL II VITARTE,2020,12,150103,LIMA,LIMA,ATE,ESSALUD,II-1,II,33.0,7.0,50.0,117.0,0.0,19.0,100.0,6.0,2.0,3.0,22.0,2.0,5.0,163.0,32.0,1.0
88,00008370,POLICLINICO CHOSICA - ESSALUD,2020,2,150118,LIMA,LIMA,LURIGANCHO,ESSALUD,I-3,I,8.0,14.0,3.0,16.0,1.0,0.0,12.0,5.0,1.0,0.0,6.0,2.0,1.0,28.0,1.0,1.0
89,00008378,POLICLINICO PROCERES,2020,12,150140,LIMA,LIMA,SANTIAGO DE SURCO,ESSALUD,I-3,I,9.0,28.0,0.0,28.0,0.0,0.0,19.0,3.0,1.0,1.0,7.0,8.0,3.0,18.0,1.0,0.0
90,00008388,TG LASER OFTALMICA S.A.,2020,12,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,II-E,II,6.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
91,00008389,INSTITUTO PERUANO DE ONCOLOGIA & RADIOTERAPIA,2020,11,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,I-4,I,3.0,6.0,16.0,15.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,0.0,1.0
92,00008398,CLINICA EL GOLF,2020,12,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,II-2,II,48.0,0.0,62.0,251.0,0.0,0.0,53.0,0.0,0.0,3.0,34.0,16.0,3.0,0.0,128.0,0.0
93,00008413,POLICLINICO RECONCILIACION,2020,1,70102,CALLAO,CALLAO,BELLAVISTA,PRIVADO,I-3,I,7.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
94,00008438,POLICLINICO JUAN JOSE RODRIGUEZ LAZO,2020,12,150108,LIMA,LIMA,CHORRILLOS,ESSALUD,I-3,I,0.0,0.0,0.0,60.0,0.0,0.0,25.0,5.0,3.0,2.0,19.0,3.0,5.0,38.0,0.0,0.0
95,00008489,ESSALUD - HOSPITAL III SUÁREZ ANGAMOS,2020,12,150122,LIMA,LIMA,MIRAFLORES,ESSALUD,II-2,II,56.0,68.0,69.0,239.0,0.0,0.0,161.0,6.0,6.0,3.0,45.0,35.0,15.0,195.0,58.0,1.0
96,00008502,HOSPITAL III EMERGENCIAS GRAU,2020,12,150101,LIMA,LIMA,LIMA,ESSALUD,II-2,II,53.0,7.0,132.0,316.0,0.0,58.0,224.0,10.0,5.0,14.0,64.0,25.0,7.0,376.0,5.0,1.0
97,00008519,CLINICA UNIVERSITARIA,2020,12,150110,LIMA,LIMA,COMAS,PRIVADO,II-1,II,22.0,32.0,17.0,21.0,0.0,0.0,10.0,1.0,1.0,1.0,2.0,4.0,2.0,15.0,4.0,1.0
98,00008539,POLICLINICO CHINCHA,2020,10,150101,LIMA,LIMA,LIMA,ESSALUD,I-3,I,48.0,29.0,0.0,62.0,0.0,0.0,33.0,2.0,3.0,1.0,15.0,4.0,3.0,64.0,2.0,0.0
